"group","mean_cache","median_cache","sd_cache","min_cache","max_cache","n"
"F yearling breeding",4.8548628218055,5.85444514280514,4.04683062474064,0,11.4406549614388,200
"F yearling non-breeding",3.95116372543471,4.39702346097936,3.82049491108479,0,10.5883543510676,89
"M yearling breeding",5.70922004252189,6.71840991363387,4.12389332891347,0,11.4506335364609,247
"M yearling non-breeding",4.41426151567631,3.65156883823246,4.35346576632042,0,11.101678501184,64
"F adult breeding",5.2682581219147,6.67151235863274,3.89410618480298,0,11.2346946530385,656
"F adult non-breeding",4.88173556558023,6.0964138582003,3.61695634911932,0,10.4009579577165,52
"M adult breeding",5.28991897448028,6.73969517331125,4.19764128199342,0,11.7603359225443,661
"M adult non-breeding",5.03041772736576,5.9796239598142,4.14642167583732,0,10.7024637100307,17
