"sex","n_cache","mean_cache_size","sd_cache_size","min_cache_size","max_cache_size","ci_low_cache","ci_high_cache","n_total","mean_total_cones","sd_total_cones","min_total_cones","max_total_cones","ci_low_total","ci_high_total"
"M",840,12346.7249256957,16823.2917725831,7.48309916792569,128069.467984541,11207.4031788757,13486.0466725157,840,729.622471428571,1157.07912904319,1.639,3671.906,651.26174201063,807.983200846512
"f_non_breeder",87,4643.53908911557,8405.6078560987,9.8174770424681,39669.1522362661,2852.06098082142,6435.01719740972,87,159.617183908046,540.049728698449,4.085,3648.279,44.5169695134969,274.717398302595
"f_weaned",246,7353.29429631808,12883.7038059602,5.26871267945788,93026.9217959238,5735.31886431875,8971.26972831741,246,275.369548780488,592.748751043954,1.639,3648.279,200.930324549508,349.808773011468
"f_lac",81,9439.93226007998,13703.6291344287,19.6349540849362,75711.2048542689,6409.81102909517,12470.0534910648,81,1634.74325925926,1210.61159722277,38.197,3671.906,1367.05505292821,1902.43146559031
