"sex","n_cache","mean_cache","sd_cache","se_cache","tcrit_cache","ci_low_cache","ci_high_cache","min_cache","max_cache"
"M",820,12574.7977493488,16982.1975656095,593.044063428304,1.96286474316987,11410.7324660992,13738.8630325984,7.7885317870247,128069.467984541
"f_non_breeder",86,4813.2065832848,8461.04383740903,912.377821183678,1.98826790747722,2999.1550419313,6627.2581246383,9.8174770424681,39669.1522362661
"f_weaned",245,7311.41228212574,12843.0354160429,820.511435077407,1.96973399227238,5695.22301740558,8927.6015468459,5.80321976288115,93026.9217959238
"f_lac",79,9561.63174392345,13825.6360250897,1555.50558144354,1.99084706881169,6464.85801658635,12658.4054712605,19.6349540849362,75711.2048542689
