"term","estimate","std.error","zvalue","pvalue"
"(Intercept)",8.3891,0.272,30.8466,0
"sexf_non_breeder",-0.4421,0.1568,-2.8207,0.0048
"sexf_weaned",-0.4449,0.101,-4.4038,0
"sexf_lac",-1.1461,0.1587,-7.2234,0
"total_cones_sc",0.7223,0.2169,3.3306,9e-04
