"year","gr","squirrel_id","sex","breed_status","age_class","log_cache_size_new","log_total_cones"
2013,"SU",10654,"F",1,"adult",8.72158807306647,4.67303968645855
2013,"SU",12180,"F",1,"adult",10.1693812346622,4.67303968645855
2013,"KL",11897,"F",1,"adult",8.90036570252342,4.67303968645855
2013,"SU",12462,"F",1,"adult",9.43825479911125,4.67303968645855
2013,"SU",11943,"F",1,"adult",9.67492271002167,4.67303968645855
2013,"SU",10918,"F",1,"adult",8.90821710997926,4.67303968645855
2013,"KL",10046,"F",1,"adult",9.95788105622,4.67303968645855
2013,"KL",11537,"F",1,"adult",8.55244503883399,4.67303968645855
2013,"SU",13092,"F",1,"adult",10.3092981240221,4.67303968645855
2013,"KL",12625,"F",1,"adult",8.55493344906894,4.67303968645855
2013,"KL",12190,"F",1,"adult",9.20826039698486,4.67303968645855
2013,"KL",11775,"F",1,"adult",11.1663849176104,4.67303968645855
2013,"KL",13112,"F",1,"adult",8.01415454215624,4.67303968645855
2013,"SU",11722,"F",1,"adult",10.0934315895014,4.67303968645855
2013,"SU",12026,"F",1,"adult",10.3690045540094,4.67303968645855
2013,"SU",13131,"F",1,"adult",10.0551055024322,4.67303968645855
2013,"KL",11256,"F",1,"adult",10.1860961730673,4.67303968645855
2013,"SU",11963,"F",1,"adult",8.51090212076138,4.67303968645855
2013,"KL",10342,"F",1,"adult",10.3584159302498,4.67303968645855
2013,"KL",12305,"F",1,"adult",9.67127619547686,4.67303968645855
2013,"SU",12435,"F",1,"adult",9.9289451063577,4.67303968645855
2013,"SU",12432,"F",1,"adult",9.19998866332131,4.67303968645855
2013,"SU",11976,"F",1,"adult",6.85225157904546,4.67303968645855
2013,"KL",13084,"F",1,"adult",8.45189417835286,4.67303968645855
2013,"KL",12703,"F",1,"adult",9.34983035716986,4.67303968645855
2013,"KL",12423,"F",1,"adult",9.11520838353367,4.67303968645855
2013,"KL",12513,"F",1,"adult",9.61052135101069,4.67303968645855
2013,"KL",12626,"F",1,"adult",7.76199671952631,4.67303968645855
2013,"KL",12199,"F",1,"adult",10.1976005177155,4.67303968645855
2013,"KL",11272,"F",1,"adult",9.21404146759235,4.67303968645855
2013,"SU",11576,"F",1,"adult",9.63506253660981,4.67303968645855
2013,"SU",11577,"F",1,"adult",7.88059102493188,4.67303968645855
2013,"SU",12191,"F",1,"adult",7.97782400162457,4.67303968645855
2013,"SU",12003,"F",1,"adult",8.01557504470487,4.67303968645855
2013,"SU",11002,"F",1,"adult",7.81684929578267,4.67303968645855
2013,"SU",11953,"F",1,"adult",8.42706541466286,4.67303968645855
2013,"SU",12973,"F",1,"adult",9.21304763781556,4.67303968645855
2013,"KL",12827,"F",1,"adult",10.6154506308005,4.67303968645855
