"year","gr","squirrel_id","sex","breed_status","age_class"
2013,"KL",11841,"F",1,"adult"
2013,"KL",13010,"F",1,"adult"
2013,"KL",12628,"F",1,"adult"
2013,"AG",11349,"F",1,"adult"
2013,"SU",13667,"F",1,"adult"
2013,"JO",12699,"F",1,"adult"
2013,"AG",13627,"F",1,"yearling"
2013,"SU",13085,"F",1,"adult"
2013,"KL",12202,"F",1,"adult"
2013,"SU",13134,"F",1,"adult"
2013,"AG",10456,"F",1,"adult"
2013,"KL",11897,"F",1,"adult"
2013,"SU",13130,"F",1,"adult"
2013,"AG",19298,"F",1,"yearling"
2013,"SU",12432,"F",1,"adult"
2013,"SU",10918,"F",1,"adult"
2013,"AG",13659,"F",1,"adult"
2013,"JO",11049,"F",1,"adult"
2013,"SU",11946,"F",1,"adult"
2013,"SU",12192,"F",1,"adult"
2013,"AG",10387,"F",0,"adult"
2013,"AG",11062,"F",0,"adult"
2013,"AG",11100,"F",0,"adult"
2013,"AG",12121,"F",0,"yearling"
2013,"AG",12182,"F",0,"yearling"
2013,"AG",12195,"F",0,"yearling"
2013,"AG",12257,"F",0,"yearling"
2013,"AG",12269,"F",0,"yearling"
2013,"AG",12271,"F",0,"yearling"
2013,"AG",12289,"F",0,"yearling"
2013,"AG",12607,"F",0,"adult"
2013,"AG",12645,"F",0,"adult"
2013,"AG",12689,"F",0,"adult"
2013,"AG",12837,"F",0,"yearling"
2013,"AG",12861,"F",0,"adult"
2013,"AG",12938,"F",0,"yearling"
2013,"AG",12939,"F",0,"yearling"
2013,"AG",13117,"F",0,"yearling"
2013,"AG",13140,"F",0,"yearling"
2013,"AG",13156,"F",0,"yearling"
2013,"AG",13246,"F",0,"yearling"
2013,"AG",13255,"F",0,"adult"
2013,"AG",13267,"F",0,"yearling"
2013,"AG",13268,"F",0,"yearling"
2013,"AG",13269,"F",0,"yearling"
2013,"AG",13271,"F",0,"yearling"
2013,"AG",13272,"F",0,"yearling"
2013,"AG",13450,"F",0,"yearling"
2013,"AG",13476,"F",0,"yearling"
2013,"AG",13564,"F",0,"yearling"
2013,"AG",13565,"F",0,"yearling"
2013,"AG",13567,"F",0,"yearling"
2013,"AG",19284,"F",0,"yearling"
2013,"AG",19283,"F",0,"yearling"
2013,"AG",19281,"F",0,"yearling"
2013,"AG",19275,"F",0,"yearling"
2013,"AG",13625,"F",0,"yearling"
2013,"AG",13626,"F",0,"yearling"
2013,"AG",13579,"F",0,"yearling"
2013,"AG",19249,"F",0,"yearling"
2013,"AG",8776,"F",0,"adult"
2013,"AG",19688,"F",0,"yearling"
2013,"AG",13253,"F",0,"adult"
2013,"AG",19269,"F",0,"yearling"
2013,"AG",19308,"F",0,"yearling"
2013,"AG",19429,"F",0,"yearling"
2013,"AG",19428,"F",0,"yearling"
2013,"AG",19427,"F",0,"yearling"
2013,"AG",19408,"F",0,"yearling"
2013,"AG",19407,"F",0,"yearling"
2013,"AG",19291,"F",0,"yearling"
2013,"AG",19286,"F",0,"yearling"
2013,"AG",19309,"F",0,"yearling"
2013,"AG",19353,"F",0,"yearling"
2013,"AG",19551,"F",0,"yearling"
2013,"AG",13286,"F",0,"yearling"
2013,"AG",10044,"F",0,"adult"
2013,"AG",19493,"F",0,"yearling"
2013,"AG",19592,"F",0,"yearling"
2013,"AG",19823,"F",0,"juvenile"
2013,"AG",19821,"F",0,"juvenile"
2013,"AG",19653,"F",0,"yearling"
2013,"AG",19835,"F",0,"juvenile"
2013,"AG",19852,"F",0,"yearling"
2013,"AG",19864,"F",0,"juvenile"
2013,"AG",19820,"F",0,"yearling"
2013,"AG",19836,"F",0,"juvenile"
2013,"AG",19853,"F",0,"juvenile"
2013,"JO",11608,"F",0,"adult"
2013,"JO",11610,"F",0,"adult"
2013,"JO",11778,"F",0,"adult"
2013,"JO",11815,"F",0,"adult"
2013,"JO",11887,"F",0,"adult"
2013,"JO",13335,"F",0,"yearling"
2013,"JO",19282,"F",0,"yearling"
2013,"JO",12504,"F",0,"adult"
2013,"JO",12739,"F",0,"adult"
2013,"JO",13060,"F",0,"adult"
2013,"JO",13062,"F",0,"adult"
2013,"JO",13204,"F",0,"yearling"
2013,"JO",13208,"F",0,"yearling"
2013,"JO",19255,"F",0,"adult"
2013,"JO",13228,"F",0,"yearling"
2013,"JO",13229,"F",0,"yearling"
2013,"JO",13290,"F",0,"yearling"
2013,"JO",13293,"F",0,"yearling"
2013,"JO",13294,"F",0,"yearling"
2013,"JO",13295,"F",0,"yearling"
2013,"JO",19278,"F",0,"yearling"
2013,"JO",13430,"F",0,"adult"
2013,"JO",13528,"F",0,"yearling"
2013,"JO",13529,"F",0,"yearling"
2013,"JO",19247,"F",0,"yearling"
2013,"JO",19870,"F",0,"juvenile"
2013,"JO",19593,"F",0,"yearling"
2013,"KL",10993,"F",0,"adult"
2013,"KL",11020,"F",0,"yearling"
2013,"KL",11489,"F",0,"adult"
2013,"KL",11895,"F",0,"adult"
2013,"KL",12012,"F",0,"adult"
2013,"KL",12210,"F",0,"yearling"
2013,"KL",12285,"F",0,"yearling"
2013,"KL",12426,"F",0,"adult"
2013,"KL",12427,"F",0,"adult"
2013,"KL",12508,"F",0,"adult"
2013,"KL",12509,"F",0,"adult"
2013,"KL",12664,"F",0,"adult"
2013,"KL",13124,"F",0,"adult"
2013,"KL",13305,"F",0,"yearling"
2013,"KL",13332,"F",0,"yearling"
2013,"KL",13366,"F",0,"yearling"
2013,"KL",13333,"F",0,"yearling"
2013,"KL",13445,"F",0,"adult"
2013,"KL",13499,"F",0,"yearling"
2013,"KL",13535,"F",0,"yearling"
2013,"KL",13412,"F",0,"yearling"
2013,"KL",19550,"F",0,"yearling"
2013,"KL",13646,"F",0,"yearling"
2013,"KL",19257,"F",0,"yearling"
2013,"KL",19865,"F",0,"yearling"
2013,"KL",19846,"F",0,"juvenile"
2013,"KL",13288,"F",0,"yearling"
2013,"SU",11031,"F",0,"yearling"
2013,"SU",11313,"F",0,"adult"
2013,"SU",11998,"F",0,"adult"
2013,"SU",12164,"F",0,"yearling"
2013,"SU",12196,"F",0,"yearling"
2013,"SU",13097,"F",0,"adult"
2013,"SU",13438,"F",0,"yearling"
2013,"SU",19250,"F",0,"yearling"
2013,"SU",10048,"F",0,"adult"
2013,"SU",19494,"F",0,"yearling"
2013,"SU",12972,"F",0,"adult"
2013,"SU",19856,"F",0,"juvenile"
2013,"SU",19862,"F",0,"juvenile"
1986,"KL",240,"F",0,"yearling"
1987,"FL",126,"F",1,"adult"
1987,"FL",127,"F",1,"adult"
1987,"FL",167,"F",1,"adult"
1987,"FL",194,"F",1,"adult"
1987,"FL",195,"F",1,"adult"
1987,"FL",253,"F",1,"adult"
1987,"FL",263,"F",1,"adult"
1987,"FL",300,"F",1,"adult"
1987,"FL",393,"F",1,"adult"
1987,"FL",619,"F",1,"adult"
1987,"FL",664,"F",1,"adult"
1987,"FL",8837,"F",1,NA
1987,"FL",8839,"F",1,NA
1987,"KL",69,"F",1,"yearling"
1987,"KL",73,"F",1,"yearling"
1987,"KL",76,"F",1,"yearling"
1987,"KL",158,"F",1,"yearling"
1987,"KL",217,"F",1,"adult"
1987,"KL",241,"F",1,"yearling"
1987,"KL",325,"F",0,"yearling"
1987,"KL",369,"F",0,"yearling"
1987,"KL",370,"F",0,"yearling"
1987,"KL",371,"F",1,"yearling"
1987,"KL",567,"F",1,"yearling"
1987,"KL",695,"F",1,"yearling"
1987,"KL",697,"F",0,"adult"
1987,"KL",712,"F",0,"yearling"
1987,"KL",810,"F",0,"yearling"
1987,"KL",848,"F",0,"yearling"
1987,"KL",875,"F",1,"yearling"
1987,"KL",880,"F",1,"yearling"
1987,"KL",981,"F",0,"yearling"
1987,"KL",1319,"F",0,"yearling"
1987,"KL",1321,"F",0,"yearling"
1987,"KL",1397,"F",1,"yearling"
1987,"KL",1890,"F",1,"yearling"
1987,"KL",8838,"F",1,NA
1987,"SU",67,"F",1,"yearling"
1987,"SU",98,"F",1,"yearling"
1987,"SU",99,"F",1,"yearling"
1987,"SU",140,"F",1,"yearling"
1987,"SU",199,"F",1,"yearling"
1987,"SU",331,"F",0,"yearling"
1987,"SU",399,"F",1,"yearling"
1987,"SU",613,"F",1,"yearling"
1987,"SU",687,"F",1,"yearling"
1987,"SU",688,"F",1,"yearling"
1987,"SU",709,"F",0,"yearling"
1987,"SU",715,"F",1,"yearling"
1987,"SU",849,"F",0,"yearling"
1987,"SU",852,"F",0,"yearling"
1987,"SU",879,"F",0,"yearling"
1987,"SU",899,"F",0,"yearling"
1987,"SU",1195,"F",0,"yearling"
1987,"SU",1266,"F",0,"yearling"
1987,"SU",1355,"F",0,"yearling"
1987,"SU",1516,"F",1,"yearling"
1987,"SU",1689,"F",0,"yearling"
1987,"SU",1693,"F",1,"yearling"
1987,"SU",1935,"F",0,"yearling"
1988,"FL",276,"F",1,"adult"
1988,"FL",284,"F",1,"yearling"
1988,"FL",310,"F",1,"adult"
1988,"FL",393,"F",1,"adult"
1988,"FL",415,"F",1,"adult"
1988,"FL",430,"F",1,"adult"
1988,"FL",448,"F",1,"yearling"
